run_id,task_id,tool_output_format,repeat,disk_write_success,test_success,overall_success,retries,total_latency_ms
"TOOL_ABL_STRUCTURED_R1_ARITHMETIC_rep5","R1_ARITHMETIC","STRUCTURED",5,false,false,false,4,11272
"TOOL_ABL_STRUCTURED_R2_NESTED_MODULE_rep1","R2_NESTED_MODULE","STRUCTURED",1,false,false,false,4,12246
"TOOL_ABL_STRUCTURED_R2_NESTED_MODULE_rep2","R2_NESTED_MODULE","STRUCTURED",2,false,false,false,4,12017
"TOOL_ABL_STRUCTURED_R2_NESTED_MODULE_rep3","R2_NESTED_MODULE","STRUCTURED",3,false,false,false,4,11994
"TOOL_ABL_STRUCTURED_R2_NESTED_MODULE_rep4","R2_NESTED_MODULE","STRUCTURED",4,false,false,false,4,12049
"TOOL_ABL_STRUCTURED_R2_NESTED_MODULE_rep5","R2_NESTED_MODULE","STRUCTURED",5,false,false,false,4,12151
"TOOL_ABL_STRUCTURED_R3_CONFIG_BUG_rep1","R3_CONFIG_BUG","STRUCTURED",1,true,false,false,2,17004
"TOOL_ABL_STRUCTURED_R3_CONFIG_BUG_rep2","R3_CONFIG_BUG","STRUCTURED",2,true,false,false,2,16848
"TOOL_ABL_STRUCTURED_R3_CONFIG_BUG_rep3","R3_CONFIG_BUG","STRUCTURED",3,true,false,false,1,11699
"TOOL_ABL_STRUCTURED_R3_CONFIG_BUG_rep4","R3_CONFIG_BUG","STRUCTURED",4,true,false,false,2,16760
"TOOL_ABL_STRUCTURED_R3_CONFIG_BUG_rep5","R3_CONFIG_BUG","STRUCTURED",5,true,false,false,2,16790
"TOOL_ABL_STRUCTURED_R4_MULTIFILE_DISCOVERY_rep1","R4_MULTIFILE_DISCOVERY","STRUCTURED",1,true,false,false,1,11388
"TOOL_ABL_STRUCTURED_R4_MULTIFILE_DISCOVERY_rep2","R4_MULTIFILE_DISCOVERY","STRUCTURED",2,true,false,false,1,11309
"TOOL_ABL_STRUCTURED_R4_MULTIFILE_DISCOVERY_rep3","R4_MULTIFILE_DISCOVERY","STRUCTURED",3,true,false,false,1,11319
"TOOL_ABL_STRUCTURED_R4_MULTIFILE_DISCOVERY_rep4","R4_MULTIFILE_DISCOVERY","STRUCTURED",4,true,false,false,1,11194
"TOOL_ABL_STRUCTURED_R4_MULTIFILE_DISCOVERY_rep5","R4_MULTIFILE_DISCOVERY","STRUCTURED",5,true,false,false,1,11058
"TOOL_ABL_STRUCTURED_R5_FAILED_FIRST_PATCH_rep1","R5_FAILED_FIRST_PATCH","STRUCTURED",1,true,true,true,2,15552
"TOOL_ABL_STRUCTURED_R5_FAILED_FIRST_PATCH_rep2","R5_FAILED_FIRST_PATCH","STRUCTURED",2,false,false,false,4,14309
"TOOL_ABL_STRUCTURED_R5_FAILED_FIRST_PATCH_rep3","R5_FAILED_FIRST_PATCH","STRUCTURED",3,true,true,true,2,15670
"TOOL_ABL_STRUCTURED_R5_FAILED_FIRST_PATCH_rep4","R5_FAILED_FIRST_PATCH","STRUCTURED",4,false,false,false,4,14261
"TOOL_ABL_STRUCTURED_R5_FAILED_FIRST_PATCH_rep5","R5_FAILED_FIRST_PATCH","STRUCTURED",5,true,true,true,2,15147
